trial	block	trial_type	wav_file	condition	key	freq	updown	circscale
1	1	randomC	330CShep.wav	shepard	C	330	random	
2	1	randomC	392CShep.wav	shepard	C	392	random	
3	1	randomC	294CShep.wav	shepard	C	294	random	
4	1	randomC	349CShep.wav	shepard	C	349	random	
5	1	randomC	440CShep.wav	shepard	C	440	random	
6	1	randomC					random	
7	1	randomC	523CShep.wav	shepard	C	523	random	
8	1	randomC	294CShep.wav	shepard	C	294	random	
9	1	randomC					random	
10	1	randomC	523CShep.wav	shepard	C	523	random	
11	1	randomC	349CShep.wav	shepard	C	349	random	
12	1	randomC	494CShep.wav	shepard	C	494	random	
13	1	randomC	440CShep.wav	shepard	C	440	random	
14	1	randomC	330CShep.wav	shepard	C	330	random	
15	1	randomC	349CShep.wav	shepard	C	349	random	
16	1	randomC	523CShep.wav	shepard	C	523	random	
17	1	randomC	440CShep.wav	shepard	C	440	random	
18	1	randomC	494CShep.wav	shepard	C	494	random	
19	1	randomC					random	
20	1	randomC	392CShep.wav	shepard	C	392	random	
21	1	randomC	330CShep.wav	shepard	C	330	random	
22	1	randomC	330CShep.wav	shepard	C	330	random	
23	1	randomC	294CShep.wav	shepard	C	294	random	
24	1	randomC	440CShep.wav	shepard	C	440	random	
25	1	randomC	494CShep.wav	shepard	C	494	random	
26	1	randomC	523CShep.wav	shepard	C	523	random	
27	1	randomC	349CShep.wav	shepard	C	349	random	
28	1	randomC	392CShep.wav	shepard	C	392	random	
29	1	randomC					random	
30	1	randomC	294CShep.wav	shepard	C	294	random	
31	1	randomC	523CShep.wav	shepard	C	523	random	
32	1	randomC	330CShep.wav	shepard	C	330	random	
33	1	randomC	349CShep.wav	shepard	C	349	random	
34	1	randomC	392CShep.wav	shepard	C	392	random	
35	1	randomC	440CShep.wav	shepard	C	440	random	
36	1	randomC					random	
37	1	randomC	494CShep.wav	shepard	C	494	random	
38	1	randomC	440CShep.wav	shepard	C	440	random	
39	1	randomC	523CShep.wav	shepard	C	523	random	
40	1	randomC	392CShep.wav	shepard	C	392	random	
41	1	randomC	349CShep.wav	shepard	C	349	random	
42	1	randomC	330CShep.wav	shepard	C	330	random	
43	1	randomC	440CShep.wav	shepard	C	440	random	
44	1	randomC	349CShep.wav	shepard	C	349	random	
45	1	randomC	523CShep.wav	shepard	C	523	random	
46	1	randomC	494CShep.wav	shepard	C	494	random	
47	1	randomC	294CShep.wav	shepard	C	294	random	
48	1	randomC	392CShep.wav	shepard	C	392	random	
49	1	randomC	330CShep.wav	shepard	C	330	random	
50	1	randomC	330CShep.wav	shepard	C	330	random	
51	1	randomC	294CShep.wav	shepard	C	294	random	
52	1	randomC	349CShep.wav	shepard	C	349	random	
53	1	randomC	392CShep.wav	shepard	C	392	random	
54	1	randomC	440CShep.wav	shepard	C	440	random	
55	1	randomC	494CShep.wav	shepard	C	494	random	
56	1	randomC	523CShep.wav	shepard	C	523	random	
57	1	randomC	294CShep.wav	shepard	C	294	random	
58	1	randomC	392CShep.wav	shepard	C	392	random	
59	1	randomC	349CShep.wav	shepard	C	349	random	
60	1	randomC	440CShep.wav	shepard	C	440	random	
61	1	randomC	494CShep.wav	shepard	C	494	random	
62	1	randomC	330CShep.wav	shepard	C	330	random	
63	1	randomC					random	
64	1	randomC	330CShep.wav	shepard	C	330	random	
65	1	randomC	440CShep.wav	shepard	C	440	random	
66	1	randomC					random	
67	1	randomC	349CShep.wav	shepard	C	349	random	
68	1	randomC	294CShep.wav	shepard	C	294	random	
69	1	randomC	494CShep.wav	shepard	C	494	random	
70	1	randomC	392CShep.wav	shepard	C	392	random	
71	1	randomC	349CShep.wav	shepard	C	349	random	
72	1	randomC	392CShep.wav	shepard	C	392	random	
73	1	randomC	523CShep.wav	shepard	C	523	random	
74	1	randomC	494CShep.wav	shepard	C	494	random	
75	1	randomC					random	
76	1	randomC	440CShep.wav	shepard	C	440	random	
77	1	randomC	294CShep.wav	shepard	C	294	random	
