trial	block	trial_type	wav_file	condition	key	freq	updown	circscale
1	1	randomA	pure-A_440_300ms.wav	pure	A	440	random	
2	1	randomA	pure-A_330_300ms.wav	pure	A	330	random	
3	1	randomA	pure-A_415_300ms.wav	pure	A	415	random	
4	1	randomA	pure-A_220_300ms.wav	pure	A	220	random	
5	1	randomA	pure-A_247_300ms.wav	pure	A	247	random	
6	1	randomA	pure-A_294_300ms.wav	pure	A	294	random	
7	1	randomA	pure-A_370_300ms.wav	pure	A	370	random	
8	1	randomA	pure-A_277_300ms.wav	pure	A	277	random	
9	1	randomA	pure-A_440_300ms.wav	pure	A	440	random	
10	1	randomA	pure-A_277_300ms.wav	pure	A	277	random	
11	1	randomA	pure-A_220_300ms.wav	pure	A	220	random	
12	1	randomA	pure-A_370_300ms.wav	pure	A	370	random	
13	1	randomA	pure-A_294_300ms.wav	pure	A	294	random	
14	1	randomA	pure-A_247_300ms.wav	pure	A	247	random	
15	1	randomA	pure-A_415_300ms.wav	pure	A	415	random	
16	1	randomA	pure-A_330_300ms.wav	pure	A	330	random	
17	1	randomA	pure-A_277_300ms.wav	pure	A	277	random	
18	1	randomA	pure-A_440_300ms.wav	pure	A	440	random	
19	1	randomA	pure-A_247_300ms.wav	pure	A	247	random	
20	1	randomA	pure-A_330_300ms.wav	pure	A	330	random	
21	1	randomA	pure-A_294_300ms.wav	pure	A	294	random	
22	1	randomA	pure-A_415_300ms.wav	pure	A	415	random	
23	1	randomA	pure-A_370_300ms.wav	pure	A	370	random	
24	1	randomA	pure-A_220_300ms.wav	pure	A	220	random	
25	1	randomA	pure-A_294_300ms.wav	pure	A	294	random	
26	1	randomA	pure-A_220_300ms.wav	pure	A	220	random	
27	1	randomA	pure-A_330_300ms.wav	pure	A	330	random	
28	1	randomA	pure-A_277_300ms.wav	pure	A	277	random	
29	1	randomA	pure-A_440_300ms.wav	pure	A	440	random	
30	1	randomA	pure-A_247_300ms.wav	pure	A	247	random	
31	1	randomA	pure-A_415_300ms.wav	pure	A	415	random	
32	1	randomA	pure-A_370_300ms.wav	pure	A	370	random	
33	1	randomA	pure-A_415_300ms.wav	pure	A	415	random	
34	1	randomA	pure-A_370_300ms.wav	pure	A	370	random	
35	1	randomA	pure-A_440_300ms.wav	pure	A	440	random	
36	1	randomA	pure-A_294_300ms.wav	pure	A	294	random	
37	1	randomA	pure-A_330_300ms.wav	pure	A	330	random	
38	1	randomA	pure-A_220_300ms.wav	pure	A	220	random	
39	1	randomA	pure-A_277_300ms.wav	pure	A	277	random	
40	1	randomA	pure-A_247_300ms.wav	pure	A	247	random	
41	1	randomA	pure-A_330_300ms.wav	pure	A	330	random	
42	1	randomA	pure-A_370_300ms.wav	pure	A	370	random	
43	1	randomA	pure-A_220_300ms.wav	pure	A	220	random	
44	1	randomA	pure-A_247_300ms.wav	pure	A	247	random	
45	1	randomA	pure-A_294_300ms.wav	pure	A	294	random	
