trial	block	trial_type	wav_file	condition	key	freq	updown	circscale
1	1	randomDsharp	shepard-D_175_300ms.wav	shepard	Dsharp	175	random	
2	1	randomDsharp	shepard-D_294_300ms.wav	shepard	Dsharp	294	random	
3	1	randomDsharp	shepard-D_262_300ms.wav	shepard	Dsharp	262	random	
4	1	randomDsharp	shepard-D_233_300ms.wav	shepard	Dsharp	233	random	
5	1	randomDsharp	shepard-D_196_300ms.wav	shepard	Dsharp	196	random	
6	1	randomDsharp	shepard-D_156_300ms.wav	shepard	Dsharp	156	random	
7	1	randomDsharp	shepard-D_208_300ms.wav	shepard	Dsharp	208	random	
8	1	randomDsharp	shepard-D_262_300ms.wav	shepard	Dsharp	262	random	
9	1	randomDsharp	shepard-D_175_300ms.wav	shepard	Dsharp	175	random	
10	1	randomDsharp	shepard-D_156_300ms.wav	shepard	Dsharp	156	random	
11	1	randomDsharp	shepard-D_294_300ms.wav	shepard	Dsharp	294	random	
12	1	randomDsharp	shepard-D_208_300ms.wav	shepard	Dsharp	208	random	
13	1	randomDsharp	shepard-D_233_300ms.wav	shepard	Dsharp	233	random	
14	1	randomDsharp	shepard-D_196_300ms.wav	shepard	Dsharp	196	random	
15	1	randomDsharp	shepard-D_196_300ms.wav	shepard	Dsharp	196	random	
16	1	randomDsharp	shepard-D_156_300ms.wav	shepard	Dsharp	156	random	
17	1	randomDsharp	shepard-D_208_300ms.wav	shepard	Dsharp	208	random	
18	1	randomDsharp	shepard-D_262_300ms.wav	shepard	Dsharp	262	random	
19	1	randomDsharp	shepard-D_175_300ms.wav	shepard	Dsharp	175	random	
20	1	randomDsharp	shepard-D_233_300ms.wav	shepard	Dsharp	233	random	
21	1	randomDsharp	shepard-D_294_300ms.wav	shepard	Dsharp	294	random	
22	1	randomDsharp	shepard-D_262_300ms.wav	shepard	Dsharp	262	random	
23	1	randomDsharp	shepard-D_175_300ms.wav	shepard	Dsharp	175	random	
24	1	randomDsharp	shepard-D_233_300ms.wav	shepard	Dsharp	233	random	
25	1	randomDsharp	shepard-D_156_300ms.wav	shepard	Dsharp	156	random	
26	1	randomDsharp	shepard-D_208_300ms.wav	shepard	Dsharp	208	random	
27	1	randomDsharp	shepard-D_294_300ms.wav	shepard	Dsharp	294	random	
28	1	randomDsharp	shepard-D_196_300ms.wav	shepard	Dsharp	196	random	
29	1	randomDsharp	shepard-D_196_300ms.wav	shepard	Dsharp	196	random	
30	1	randomDsharp	shepard-D_262_300ms.wav	shepard	Dsharp	262	random	
31	1	randomDsharp	shepard-D_294_300ms.wav	shepard	Dsharp	294	random	
32	1	randomDsharp	shepard-D_233_300ms.wav	shepard	Dsharp	233	random	
33	1	randomDsharp	shepard-D_208_300ms.wav	shepard	Dsharp	208	random	
34	1	randomDsharp	shepard-D_175_300ms.wav	shepard	Dsharp	175	random	
35	1	randomDsharp	shepard-D_156_300ms.wav	shepard	Dsharp	156	random	
36	1	randomDsharp	shepard-D_262_300ms.wav	shepard	Dsharp	262	random	
37	1	randomDsharp	shepard-D_294_300ms.wav	shepard	Dsharp	294	random	
38	1	randomDsharp	shepard-D_208_300ms.wav	shepard	Dsharp	208	random	
39	1	randomDsharp	shepard-D_156_300ms.wav	shepard	Dsharp	156	random	
40	1	randomDsharp	shepard-D_196_300ms.wav	shepard	Dsharp	196	random	
41	1	randomDsharp	shepard-D_233_300ms.wav	shepard	Dsharp	233	random	
42	1	randomDsharp	shepard-D_175_300ms.wav	shepard	Dsharp	175	random	
43	1	randomDsharp	shepard-D_233_300ms.wav	shepard	Dsharp	233	random	
44	1	randomDsharp	shepard-D_294_300ms.wav	shepard	Dsharp	294	random	
45	1	randomDsharp	shepard-D_262_300ms.wav	shepard	Dsharp	262	random	
46	1	randomDsharp	shepard-D_196_300ms.wav	shepard	Dsharp	196	random	
47	1	randomDsharp	shepard-D_175_300ms.wav	shepard	Dsharp	175	random	
48	1	randomDsharp	shepard-D_208_300ms.wav	shepard	Dsharp	208	random	
49	1	randomDsharp	shepard-D_156_300ms.wav	shepard	Dsharp	156	random	
50	1	randomDsharp	shepard-D_156_300ms.wav	shepard	Dsharp	156	random	
51	1	randomDsharp	shepard-D_233_300ms.wav	shepard	Dsharp	233	random	
52	1	randomDsharp	shepard-D_196_300ms.wav	shepard	Dsharp	196	random	
53	1	randomDsharp	shepard-D_294_300ms.wav	shepard	Dsharp	294	random	
54	1	randomDsharp	shepard-D_262_300ms.wav	shepard	Dsharp	262	random	
55	1	randomDsharp	shepard-D_175_300ms.wav	shepard	Dsharp	175	random	
56	1	randomDsharp	shepard-D_208_300ms.wav	shepard	Dsharp	208	random	
57	1	randomDsharp	shepard-D_294_300ms.wav	shepard	Dsharp	294	random	
58	1	randomDsharp	shepard-D_175_300ms.wav	shepard	Dsharp	175	random	
59	1	randomDsharp	shepard-D_156_300ms.wav	shepard	Dsharp	156	random	
60	1	randomDsharp	shepard-D_233_300ms.wav	shepard	Dsharp	233	random	
61	1	randomDsharp	shepard-D_262_300ms.wav	shepard	Dsharp	262	random	
62	1	randomDsharp	shepard-D_196_300ms.wav	shepard	Dsharp	196	random	
63	1	randomDsharp	shepard-D_208_300ms.wav	shepard	Dsharp	208	random	
64	1	randomDsharp	shepard-D_233_300ms.wav	shepard	Dsharp	233	random	
65	1	randomDsharp	shepard-D_175_300ms.wav	shepard	Dsharp	175	random	
66	1	randomDsharp	shepard-D_196_300ms.wav	shepard	Dsharp	196	random	
67	1	randomDsharp	shepard-D_156_300ms.wav	shepard	Dsharp	156	random	
68	1	randomDsharp	shepard-D_208_300ms.wav	shepard	Dsharp	208	random	
69	1	randomDsharp	shepard-D_294_300ms.wav	shepard	Dsharp	294	random	
70	1	randomDsharp	shepard-D_262_300ms.wav	shepard	Dsharp	262	random	
71	1	randomDsharp	shepard-D_196_300ms.wav	shepard	Dsharp	196	random	
