wav_file,freq,amp_level
10400_0-0_0.wav,10400,0
10400_0-0_05.wav,10400,1
10400_0-0_1.wav,10400,2
10400_0-0_15.wav,10400,3
10400_0-0_2.wav,10400,4
13000_0-0_0.wav,13000,0
13000_0-0_05.wav,13000,1
13000_0-0_1.wav,13000,2
13000_0-0_15.wav,13000,3
13000_0-0_2.wav,13000,4
15200_0-0_0.wav,15200,0
15200_0-0_05.wav,15200,1
15200_0-0_1.wav,15200,2
15200_0-0_15.wav,15200,3
15200_0-0_2.wav,15200,4
17000_0-0_0.wav,17000,0
17000_0-0_05.wav,17000,1
17000_0-0_1.wav,17000,2
17000_0-0_15.wav,17000,3
17000_0-0_2.wav,17000,4
18400_0-0_0.wav,18400,0
18400_0-0_05.wav,18400,1
18400_0-0_1.wav,18400,2
18400_0-0_15.wav,18400,3
18400_0-0_2.wav,18400,4
19400_0-0_0.wav,19400,0
19400_0-0_05.wav,19400,1
19400_0-0_1.wav,19400,2
19400_0-0_15.wav,19400,3
19400_0-0_2.wav,19400,4
20000_0-0_0.wav,20000,0
20000_0-0_05.wav,20000,1
20000_0-0_1.wav,20000,2
20000_0-0_15.wav,20000,3
20000_0-0_2.wav,20000,4
200_0-0_0.wav,200,0
200_0-0_05.wav,200,1
200_0-0_1.wav,200,2
200_0-0_15.wav,200,3
200_0-0_2.wav,200,4
4000_0-0_0.wav,4000,0
4000_0-0_05.wav,4000,1
4000_0-0_1.wav,4000,2
4000_0-0_15.wav,4000,3
4000_0-0_2.wav,4000,4
7400_0-0_0.wav,7400,0
7400_0-0_05.wav,7400,1
7400_0-0_1.wav,7400,2
7400_0-0_15.wav,7400,3
7400_0-0_2.wav,7400,4
